year,cbam_obligation_factor,note
2026,0.025,Indicative schedule mirroring EU ETS free-allocation phase-out - verify against current Implementing Regulation
2027,0.05,Indicative schedule mirroring EU ETS free-allocation phase-out - verify against current Implementing Regulation
2028,0.1,Indicative schedule mirroring EU ETS free-allocation phase-out - verify against current Implementing Regulation
2029,0.225,Indicative schedule mirroring EU ETS free-allocation phase-out - verify against current Implementing Regulation
2030,0.485,Indicative schedule mirroring EU ETS free-allocation phase-out - verify against current Implementing Regulation
2031,0.61,Indicative schedule mirroring EU ETS free-allocation phase-out - verify against current Implementing Regulation
2032,0.735,Indicative schedule mirroring EU ETS free-allocation phase-out - verify against current Implementing Regulation
2033,0.86,Indicative schedule mirroring EU ETS free-allocation phase-out - verify against current Implementing Regulation
2034,1.0,Indicative schedule mirroring EU ETS free-allocation phase-out - verify against current Implementing Regulation
